/home/x_nanha/.conda/envs/CryoLigate/lib/python3.9/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
--- Initializing Training on cuda ---
Available GPUs: 4
--> Wrapping model with DataParallel on 4 GPUs
Using CustomLoss

--- Starting Epochs ---
Epoch 001 | Train: 2.1422 | Val: 1.6346 | Pocket Err: 1.7230
Epoch 002 | Train: 1.3316 | Val: 0.8632 | Pocket Err: 1.0201
Epoch 003 | Train: 0.7606 | Val: 0.5638 | Pocket Err: 0.5669
Epoch 004 | Train: 0.6209 | Val: 0.5066 | Pocket Err: 0.5988
Epoch 005 | Train: 0.5725 | Val: 0.4955 | Pocket Err: 0.5893
Epoch 006 | Train: 0.5415 | Val: 0.4698 | Pocket Err: 0.4999
Epoch 007 | Train: 0.5320 | Val: 0.4547 | Pocket Err: 0.5954
Epoch 008 | Train: 0.5205 | Val: 0.4442 | Pocket Err: 0.5050
Epoch 009 | Train: 0.5041 | Val: 0.4419 | Pocket Err: 0.5125
Epoch 010 | Train: 0.4965 | Val: 0.4360 | Pocket Err: 0.4209
Epoch 011 | Train: 0.4822 | Val: 0.4201 | Pocket Err: 0.5255
Epoch 012 | Train: 0.4774 | Val: 0.4159 | Pocket Err: 0.4711
Epoch 013 | Train: 0.4545 | Val: 0.4279 | Pocket Err: 0.3994
Epoch 014 | Train: 0.4841 | Val: 0.4075 | Pocket Err: 0.5527
Epoch 015 | Train: 0.4549 | Val: 0.4076 | Pocket Err: 0.3784
Epoch 016 | Train: 0.4275 | Val: 0.3646 | Pocket Err: 0.4146
Epoch 017 | Train: 0.4050 | Val: 0.3591 | Pocket Err: 0.3211
Epoch 018 | Train: 0.3810 | Val: 0.2937 | Pocket Err: 0.3911
Epoch 019 | Train: 0.3403 | Val: 0.3059 | Pocket Err: 0.2996
Epoch 020 | Train: 0.3226 | Val: 0.2474 | Pocket Err: 0.3367
Epoch 021 | Train: 0.2920 | Val: 0.2184 | Pocket Err: 0.2578
Epoch 022 | Train: 0.2636 | Val: 0.2083 | Pocket Err: 0.2727
Epoch 023 | Train: 0.2392 | Val: 0.1858 | Pocket Err: 0.2127
Epoch 024 | Train: 0.2212 | Val: 0.1669 | Pocket Err: 0.2236
Epoch 025 | Train: 0.2057 | Val: 0.1583 | Pocket Err: 0.2020
Epoch 026 | Train: 0.1854 | Val: 0.1461 | Pocket Err: 0.1838
Epoch 027 | Train: 0.1736 | Val: 0.1363 | Pocket Err: 0.1898
Epoch 028 | Train: 0.1614 | Val: 0.1326 | Pocket Err: 0.2021
Epoch 029 | Train: 0.1610 | Val: 0.1216 | Pocket Err: 0.1565
Epoch 030 | Train: 0.1452 | Val: 0.1171 | Pocket Err: 0.1710
Epoch 031 | Train: 0.1404 | Val: 0.1123 | Pocket Err: 0.1587
Epoch 032 | Train: 0.1310 | Val: 0.1038 | Pocket Err: 0.1520
Epoch 033 | Train: 0.1303 | Val: 0.1034 | Pocket Err: 0.1564
Epoch 034 | Train: 0.1202 | Val: 0.0959 | Pocket Err: 0.1383
Epoch 035 | Train: 0.1158 | Val: 0.0936 | Pocket Err: 0.1417
Epoch 036 | Train: 0.1129 | Val: 0.0879 | Pocket Err: 0.1305
Epoch 037 | Train: 0.1038 | Val: 0.0851 | Pocket Err: 0.1100
Epoch 038 | Train: 0.1050 | Val: 0.0816 | Pocket Err: 0.1140
Epoch 039 | Train: 0.0976 | Val: 0.0759 | Pocket Err: 0.1090
Epoch 040 | Train: 0.0929 | Val: 0.0748 | Pocket Err: 0.1087
Epoch 041 | Train: 0.0930 | Val: 0.0702 | Pocket Err: 0.0950
Epoch 042 | Train: 0.0870 | Val: 0.0699 | Pocket Err: 0.0981
Epoch 043 | Train: 0.0841 | Val: 0.0675 | Pocket Err: 0.0954
Epoch 044 | Train: 0.0838 | Val: 0.0636 | Pocket Err: 0.0903
Epoch 045 | Train: 0.0781 | Val: 0.0694 | Pocket Err: 0.1054
Epoch 046 | Train: 0.0781 | Val: 0.0602 | Pocket Err: 0.0884
Epoch 047 | Train: 0.0777 | Val: 0.0631 | Pocket Err: 0.0872
Epoch 048 | Train: 0.0719 | Val: 0.0600 | Pocket Err: 0.0917
Epoch 049 | Train: 0.0668 | Val: 0.0573 | Pocket Err: 0.0851
Epoch 050 | Train: 0.0685 | Val: 0.0564 | Pocket Err: 0.0760
Epoch 051 | Train: 0.0656 | Val: 0.0529 | Pocket Err: 0.0768
Epoch 052 | Train: 0.0628 | Val: 0.0526 | Pocket Err: 0.0689
Epoch 053 | Train: 0.0641 | Val: 0.0513 | Pocket Err: 0.0782
Epoch 054 | Train: 0.0629 | Val: 0.0518 | Pocket Err: 0.0802
Epoch 055 | Train: 0.0581 | Val: 0.0540 | Pocket Err: 0.0847
