/home/x_nanha/.conda/envs/CryoLigate/lib/python3.9/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
--- Initializing Training on cuda ---
Available GPUs: 4
Loss Config: SmoothL1 (Weight=500.0) + SSIM (Weight=0.2)

--- Starting Epochs ---
Epoch 001 | Train: 0.56007 | Val: 0.45102 | Ligand MSE: 4.28509
Epoch 002 | Train: 0.40882 | Val: 0.40259 | Ligand MSE: 2.54363
Epoch 003 | Train: 0.38800 | Val: 0.37063 | Ligand MSE: 3.43284
Epoch 004 | Train: 0.35521 | Val: 0.38995 | Ligand MSE: 3.32767
Epoch 005 | Train: 0.37407 | Val: 0.39401 | Ligand MSE: 3.08102
Epoch 006 | Train: 0.36187 | Val: 0.38937 | Ligand MSE: 2.97822
Epoch 007 | Train: 0.36332 | Val: 0.37716 | Ligand MSE: 2.99565
Epoch 008 | Train: 0.35162 | Val: 0.41249 | Ligand MSE: 4.37903
Epoch 009 | Train: 0.38249 | Val: 0.37214 | Ligand MSE: 3.24003
Epoch 010 | Train: 0.36099 | Val: 0.36978 | Ligand MSE: 3.34196
Epoch 011 | Train: 0.35419 | Val: 0.37234 | Ligand MSE: 4.04719
Epoch 012 | Train: 0.33044 | Val: 0.36354 | Ligand MSE: 3.44930
Epoch 013 | Train: 0.33158 | Val: 0.36045 | Ligand MSE: 3.08255
Epoch 014 | Train: 0.34510 | Val: 0.28447 | Ligand MSE: 3.81607
Epoch 015 | Train: 0.35520 | Val: 0.36512 | Ligand MSE: 4.13055
Epoch 016 | Train: 0.32810 | Val: 0.35552 | Ligand MSE: 3.29646
Epoch 017 | Train: 0.32318 | Val: 0.35853 | Ligand MSE: 3.50249
Epoch 018 | Train: 0.34505 | Val: 0.34480 | Ligand MSE: 3.15324
Epoch 019 | Train: 0.33224 | Val: 0.36482 | Ligand MSE: 2.81274
Epoch 020 | Train: 0.34768 | Val: 0.34698 | Ligand MSE: 4.32235
Epoch 021 | Train: 0.34758 | Val: 0.30694 | Ligand MSE: 4.18661
Epoch 022 | Train: 0.32014 | Val: 0.34196 | Ligand MSE: 3.37543
Epoch 023 | Train: 0.35012 | Val: 0.33152 | Ligand MSE: 3.23122
Epoch 024 | Train: 0.32296 | Val: 0.32217 | Ligand MSE: 3.52404
Epoch 025 | Train: 0.32101 | Val: 0.32725 | Ligand MSE: 3.33831
Epoch 026 | Train: 0.31012 | Val: 0.33092 | Ligand MSE: 3.39679
Epoch 027 | Train: 0.31766 | Val: 0.33622 | Ligand MSE: 3.36470
Epoch 028 | Train: 0.31651 | Val: 0.32400 | Ligand MSE: 3.42556
Epoch 029 | Train: 0.31488 | Val: 0.33168 | Ligand MSE: 3.39908
Epoch 030 | Train: 0.30475 | Val: 0.32422 | Ligand MSE: 3.50515
Epoch 031 | Train: 0.30679 | Val: 0.31817 | Ligand MSE: 3.49847
Epoch 032 | Train: 0.31263 | Val: 0.35079 | Ligand MSE: 3.31887
Epoch 033 | Train: 0.30138 | Val: 0.35159 | Ligand MSE: 3.35373
Epoch 034 | Train: 0.30953 | Val: 0.34672 | Ligand MSE: 3.44680
Epoch 035 | Train: 0.29768 | Val: 0.32102 | Ligand MSE: 3.59859
Epoch 036 | Train: 0.27715 | Val: 0.27204 | Ligand MSE: 3.84071
Epoch 037 | Train: 0.30609 | Val: 0.32336 | Ligand MSE: 3.77279
Epoch 038 | Train: 0.30616 | Val: 0.34936 | Ligand MSE: 3.57773
Epoch 039 | Train: 0.32183 | Val: 0.35283 | Ligand MSE: 3.50041
Epoch 040 | Train: 0.32383 | Val: 0.33906 | Ligand MSE: 3.71644
Epoch 041 | Train: 0.29536 | Val: 0.31924 | Ligand MSE: 3.85438
Epoch 042 | Train: 0.30134 | Val: 0.31895 | Ligand MSE: 3.86428
Epoch 043 | Train: 0.29740 | Val: 0.32458 | Ligand MSE: 3.90044
Epoch 044 | Train: 0.29394 | Val: 0.31998 | Ligand MSE: 3.92606
Epoch 045 | Train: 0.29144 | Val: 0.32092 | Ligand MSE: 3.89558
Epoch 046 | Train: 0.30134 | Val: 0.31962 | Ligand MSE: 3.84673
Epoch 047 | Train: 0.29884 | Val: 0.31942 | Ligand MSE: 3.86336
Epoch 048 | Train: 0.29529 | Val: 0.31581 | Ligand MSE: 3.81269
Epoch 049 | Train: 0.30540 | Val: 0.31727 | Ligand MSE: 3.83573
Epoch 050 | Train: 0.30795 | Val: 0.31567 | Ligand MSE: 3.81993
Epoch 051 | Train: 0.29551 | Val: 0.32267 | Ligand MSE: 3.79353
Epoch 052 | Train: 0.28958 | Val: 0.33800 | Ligand MSE: 3.75876
Epoch 053 | Train: 0.29251 | Val: 0.33764 | Ligand MSE: 3.77615
Epoch 054 | Train: 0.27915 | Val: 0.32977 | Ligand MSE: 3.81257
Epoch 055 | Train: 0.29658 | Val: 0.32978 | Ligand MSE: 3.81322
Epoch 056 | Train: 0.31135 | Val: 0.32930 | Ligand MSE: 3.81446
Epoch 057 | Train: 0.28915 | Val: 0.33135 | Ligand MSE: 3.81142
Epoch 058 | Train: 0.29747 | Val: 0.33258 | Ligand MSE: 3.80874
Epoch 059 | Train: 0.30072 | Val: 0.32641 | Ligand MSE: 3.82414
